length, compute base, OMP compute, Memory Base, OMP Memory, Overhead base, OMP overhead
876, 119553254, 33644199, 48714156, 30109310, 4352833, 4550839
884, 121861494, 34248095, 50044122, 30921624, 4107661, 4667712
892, 124073805, 34796029, 51765147, 31825499, 4158884, 4760680
900, 127007721, 35441291, 52710713, 32742655, 4278689, 4867270
908, 128633133, 36072743, 54079113, 33765024, 4370305, 4947426
916, 130618789, 36717729, 56105473, 34539481, 4499402, 5059096
924, 133166871, 37326970, 57154928, 35572383, 4599652, 5146296
932, 135330901, 37969149, 58571157, 36476852, 4730358, 5252224
940, 137858842, 38628733, 59810023, 37372117, 4818132, 5343322
948, 141348923, 39330594, 61303790, 38377811, 4919481, 5424696
956, 142198466, 39946363, 62944453, 39301220, 5043970, 5502677
964, 145331113, 40639608, 65238962, 40378103, 5166880, 5641332
972, 147191234, 41322903, 66003002, 41259030, 5276436, 5698676
980, 150282889, 41982459, 67472194, 42889799, 5403149, 5793521
988, 152626193, 42688029, 69082770, 43374328, 5470765, 5893899
996, 155217549, 43378345, 70659509, 44468347, 5574748, 6008605
1004, 158404168, 44097904, 72407342, 45542429, 5692183, 6110853
1012, 159488603, 44813676, 73776675, 46710894, 5807574, 6187695
1020, 162372189, 45486363, 75466325, 47529396, 5928365, 6247052
1028, 164753773, 46221800, 77151191, 48614448, 6017697, 6354349
1036, 167613469, 46899585, 78926542, 49738671, 6131794, 6482506
1044, 170270104, 47709741, 80605897, 50794938, 6231421, 6597488
1052, 172883175, 48371547, 82250310, 52014574, 6503725, 6673543
1060, 175066013, 49160391, 84252136, 52955995, 6543606, 6777740
1068, 178033975, 49946781, 85801403, 54149583, 6554504, 6886296
1076, 181452672, 50712659, 87587864, 55396855, 6685970, 6989603
1084, 183777874, 51488818, 89338197, 56433681, 6777685, 7101543
1092, 185802019, 52171365, 91841439, 57808399, 7003230, 7183917
1100, 188491555, 52988562, 92936616, 58675639, 6984734, 7304201
1108, 191008842, 54747458, 95362811, 59224061, 7110072, 7425537
1116, 194688002, 54476120, 97262543, 60182595, 7207668, 7526358
1124, 198008728, 55352317, 98774991, 61412444, 7351224, 7611925
1132, 200437400, 56092931, 100472532, 62631050, 7445868, 7752816
1140, 203349957, 56923876, 102514808, 64325526, 7561054, 7852161
1148, 205926639, 57660963, 104282489, 65445634, 7663859, 7967886
1156, 208861248, 58484572, 107313792, 66136109, 7811413, 8047665
1164, 211584919, 59444347, 108197025, 67410450, 7893811, 8180717
1172, 214335082, 60119615, 110670751, 68678078, 8006395, 8313096
1180, 217630920, 60950750, 112517691, 69824199, 8131562, 8439936
1188, 220941035, 61835824, 114312202, 71362622, 8257402, 8540450
1196, 223165593, 62712166, 116363486, 72435005, 8356628, 8652851
1204, 225920895, 63406815, 118611003, 74012370, 8486183, 8746220
1212, 229868763, 64302245, 121557046, 74851627, 8610361, 8861190
1220, 232167417, 65199038, 122695035, 76305614, 8693947, 9027224
1228, 235709488, 66032544, 124462008, 77510385, 8836001, 9093689
1236, 239252238, 66881165, 127315527, 78778816, 8958433, 9272509
1244, 242006708, 67736210, 128598385, 80269482, 9075561, 9334589
1252, 244941026, 68544533, 131261163, 81606725, 9189067, 9468734
1260, 248635133, 69441912, 133032262, 83239036, 9306674, 9547319
1268, 252595657, 70366269, 135048383, 84257916, 9455392, 9704119
1276, 258733409, 71374797, 137388999, 85638032, 9559354, 9861197
1284, 264543249, 72162083, 139925600, 86915366, 9758166, 9978789
1292, 268594415, 73046826, 142481840, 88325265, 9928628, 10107842
1300, 274081247, 74006747, 143920219, 89758819, 10048798, 10190182
1308, 280079372, 74865074, 146480180, 91137865, 10260292, 10366084
1316, 285783127, 75826233, 148863951, 92591843, 10346840, 10463704
1324, 291495419, 76707209, 150916356, 94323761, 10478401, 10600805
1332, 285422831, 77616130, 154367739, 95644694, 10815106, 10721592
1340, 286230957, 78591177, 155833924, 97113471, 10720287, 10893948
1348, 285954279, 79562575, 158088697, 98487607, 10870887, 11031092
1356, 290699555, 80518787, 160234320, 100003945, 11014803, 11098793
1364, 292131549, 82077270, 162638533, 102796033, 11124069, 11292533
1372, 296933447, 82383304, 164915355, 103429836, 11278218, 11387232
1380, 300145980, 83448686, 167810840, 104353220, 11383929, 11518556
1388, 316046863, 84332957, 169705082, 105921702, 11515801, 11636351
1396, 305982453, 85311753, 172457461, 107421988, 11659977, 11785194
1404, 307138701, 86192147, 174708977, 108937090, 11785153, 11953637
1412, 311628803, 87267910, 177794409, 110692918, 11936933, 12054322
1420, 314268220, 88265035, 179688770, 111987461, 12042786, 12223708
1428, 318083147, 89177354, 182289449, 113631645, 12237312, 12320507
1436, 323119510, 90306165, 184966773, 115449522, 12374392, 12451970
1444, 324883421, 91273126, 188241409, 117446540, 12463576, 12621954
1452, 329723628, 92256682, 189903031, 118476107, 12606488, 12780642
1460, 332179366, 94295561, 193686447, 120086268, 12738325, 12872670
1468, 338502041, 94340978, 195992721, 121612648, 12899118, 13034905
1476, 340841370, 95297946, 198400933, 123379519, 13009002, 13155577
1484, 344509043, 96397853, 200886567, 125128944, 13230391, 13286355
1492, 347310000, 97544005, 202891073, 126629625, 13333953, 13492754
1500, 351597432, 98544189, 205589734, 128160416, 13433130, 13593381
1508, 355232324, 100142881, 208303578, 129986372, 13615955, 13781658
1516, 359829967, 100989701, 210952272, 131612869, 13816043, 13889758
1524, 362034982, 101580596, 214344034, 133269123, 13956595, 14010865
1532, 365757404, 102970688, 216377563, 135175124, 14034593, 14230853
1540, 370000844, 103846004, 219907182, 137061029, 14194424, 14325739
1548, 374521709, 104894696, 221833090, 138344848, 14325869, 14465548
1556, 378739393, 105974807, 224638654, 140356644, 14481799, 14687331
1564, 382045286, 107129793, 228518982, 141895222, 14629079, 14763621
1572, 385444744, 108133416, 230571080, 143993497, 14796817, 14918626
1580, 390227555, 109296447, 233377613, 145506975, 15018340, 15113120
1588, 392794496, 110646457, 236625465, 147578355, 15093809, 15243789
1596, 397088996, 111533654, 238889904, 149028027, 15229396, 15396363
1604, 401805553, 112718754, 242159891, 150685481, 15388919, 15550968
1612, 405618829, 113781360, 244657661, 152768047, 15555687, 15852171
